model,accuracy,precision,recall,f1,auc_roc,train_samples,test_samples
LogisticRegression,0.5802469135802469,0.6851851851851852,0.6851851851851852,0.6851851851851852,0.5082304526748971,320,81
RandomForest,0.6790123456790124,0.6891891891891891,0.9444444444444444,0.796875,0.5020576131687243,320,81
XGBoost,0.5679012345679012,0.6727272727272727,0.6851851851851852,0.6788990825688074,0.5301783264746228,320,81
LightGBM,0.6296296296296297,0.6818181818181818,0.8333333333333334,0.75,0.5137174211248285,320,81
