ma,cons_bars,cons_range,drop_thresh,take_profit,stop_loss,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor,sl_rate
25,4,2.0,2.0,7.0,1.5,862,20.533642691415313,206.2369797823782,0.23925403687050836,80.00000000000009,1.200717255262655,79.46635730858469
25,4,2.0,2.0,3.0,1.5,1129,37.1124889282551,190.73697978237806,0.16894329475852796,40.499999999999964,1.1790957556642045,62.8875110717449
25,4,2.0,2.0,7.0,2.0,755,24.90066225165563,176.7369797823783,0.23408871494354744,94.99999999999997,1.1558527158574763,75.09933774834437
25,12,4.0,2.0,7.0,1.5,906,19.97792494481236,174.23697978237823,0.19231454722116803,94.0000000000001,1.160217912443566,80.02207505518764
25,4,2.0,2.0,5.0,1.5,957,25.914315569487982,173.23697978237823,0.18102087751554674,75.00000000000004,1.1628932579053861,74.08568443051202
50,8,2.0,2.0,5.0,3.0,359,43.45403899721448,167.36466400506976,0.466196835668718,38.00000000000007,1.2748188243104592,56.54596100278552
25,12,3.0,2.0,7.0,1.5,809,20.024721878862795,158.2369797823782,0.19559577228971348,81.00000000000009,1.1630468622178032,79.97527812113721
25,12,3.0,2.0,5.0,3.0,656,40.54878048780488,156.73697978237814,0.23892832283899107,68.0,1.133963230583229,59.45121951219512
25,8,3.0,2.0,7.0,1.5,879,19.795221843003414,155.2369797823782,0.17660634787528806,104.00000000000017,1.146796198375771,80.2047781569966
25,8,3.0,2.0,3.0,1.5,1147,36.35571054925894,154.73697978237809,0.13490582369867313,46.49999999999996,1.1413123103035414,63.64428945074106
25,12,4.0,2.0,7.0,2.0,780,24.487179487179485,153.73697978237828,0.1970986920286901,112.00000000000001,1.13050677400881,75.51282051282051
25,4,2.0,2.0,3.0,2.0,1030,43.00970873786408,153.7369797823782,0.14925920367221185,51.00000000000006,1.1309514308197428,56.99029126213592
25,12,3.0,2.0,3.0,1.5,1044,36.59003831417624,151.73697978237817,0.14534193465745035,59.999999999999986,1.1528066261655368,63.40996168582376
25,4,3.0,2.0,3.0,1.5,1272,36.0062893081761,151.7369797823781,0.11929007844526582,37.499999999999936,1.1242727107144783,63.9937106918239
25,12,4.0,2.0,3.0,1.5,1189,36.08074011774601,145.73697978237803,0.12257105112058707,64.49999999999994,1.1278394559494542,63.919259882253996
50,8,2.0,2.0,7.0,3.0,333,34.53453453453454,145.3646640050698,0.4365305225377472,37.000000000000085,1.2222701284481188,65.46546546546547
