model,accuracy,precision,recall,f1,auc_roc,train_samples,test_samples
LogisticRegression,0.47619047619047616,0.5294117647058824,0.75,0.6206896551724138,0.3888888888888889,82,21
RandomForest,0.5714285714285714,0.6153846153846154,0.6666666666666666,0.64,0.5648148148148148,82,21
XGBoost,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,0.5,82,21
LightGBM,0.47619047619047616,0.5294117647058824,0.75,0.6206896551724138,0.5092592592592593,82,21
