symbol,candles,best_profit,best_mdd,best_ma,best_tp,best_sl,trades,win_rate,hc_profit,hc_mdd,hc_ratio,profitable_configs,total_configs
SOLUSDT,49646,257.36477912127395,59.99999999999997,25,7.0,2.0,1151,24.76107732406603,121.68238956063645,46.500000000000114,2.616825581949165,248,324
ETHUSDT,55001,255.4862455712772,45.99999999999994,50,10.0,2.0,336,23.214285714285715,143.1446020618945,41.00000000000007,3.4913317576071767,283,324
XRPUSDT,55002,200.00000000000003,60.00000000000007,50,10.0,5.0,179,40.78212290502793,97.49999999999976,45.000000000000064,2.166666666666658,173,324
ORDIUSDT,21269,145.6101694915256,52.00000000000007,50,10.0,2.0,379,20.052770448548813,68.80508474576254,61.5000000000001,1.118781865784755,170,324
GMTUSDT,35860,100.00000000000009,35.00000000000008,25,5.0,5.0,166,56.024096385542165,99.99999999999987,35.0000000000001,2.857142857142845,112,324
CETUSUSDT,12509,69.99999999999989,47.00000000000016,50,7.0,3.0,120,35.833333333333336,52.99999999999987,34.50000000000011,1.5362318840579625,158,324
RENDERUSDT,14985,55.000000000000014,34.00000000000003,25,7.0,2.0,193,25.38860103626943,39.499999999999865,37.00000000000006,1.0675675675675622,52,324
