ma,half_close,take_profit,stop_loss,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor,sl_rate
50,1.5,1.5,1.5,584,51.71232876712328,30.000000000003094,0.05136986301370393,38.99999999999942,1.0709219858156105,48.28767123287671
50,2.0,1.5,1.5,584,51.71232876712328,30.000000000003094,0.05136986301370393,38.99999999999942,1.0709219858156105,48.28767123287671
50,1.5,2.0,1.5,562,38.79003558718861,25.000000000003237,0.04448398576513032,37.499999999999375,1.0608272506082808,48.754448398576514
50,1.5,1.5,1.0,644,41.45962732919254,23.499999999999925,0.036490683229813546,27.00000000000011,1.062334217506631,58.54037267080745
50,2.0,1.5,1.0,644,41.45962732919254,23.499999999999925,0.036490683229813546,27.00000000000011,1.062334217506631,58.54037267080745
50,1.5,1.5,2.0,560,58.03571428571429,17.499999999999737,0.03124999999999953,43.00000000000008,1.0372340425531907,41.964285714285715
50,2.0,1.5,2.0,560,58.03571428571429,17.499999999999737,0.03124999999999953,43.00000000000008,1.0372340425531907,41.964285714285715
50,2.0,2.0,1.5,540,43.51851851851852,12.500000000003547,0.023148148148154718,36.9999999999994,1.0273224043715925,56.481481481481474
50,1.5,2.0,1.0,625,30.880000000000003,11.999999999999952,0.019199999999999922,31.00000000000011,1.032085561497326,59.84
50,2.0,2.0,2.0,516,50.58139534883721,11.999999999999877,0.023255813953488136,32.000000000000064,1.0235294117647056,49.41860465116279
50,1.5,2.5,1.5,553,29.8372513562387,9.000000000003,0.016274864376135623,36.49999999999831,1.0223048327137623,48.64376130198915
50,1.5,2.0,2.0,543,43.278084714548804,7.999999999999994,0.014732965009208092,42.00000000000004,1.0173160173160174,42.5414364640884
50,1.5,4.0,2.0,507,21.499013806706113,7.999999999999964,0.015779092702169553,38.00000000000003,1.0186915887850465,42.209072978303745
50,1.0,1.5,1.5,641,39.93759750390016,7.500000000002835,0.011700468018725171,34.499999999999474,1.0199203187251074,39.15756630265211
50,2.0,2.5,2.0,499,39.879759519038075,7.4999999999998295,0.015030060120240139,33.00000000000006,1.0153061224489792,49.09819639278557
200,1.5,1.5,2.0,262,57.63358778625955,4.50000000000003,0.017175572519084085,25.999999999999993,1.0202702702702704,42.36641221374045
200,2.0,1.5,2.0,262,57.63358778625955,4.50000000000003,0.017175572519084085,25.999999999999993,1.0202702702702704,42.36641221374045
200,2.0,2.5,2.0,240,40.416666666666664,2.5000000000000995,0.01041666666666708,30.49999999999997,1.0104166666666672,50.0
50,1.5,2.5,2.0,533,33.95872420262664,2.499999999999801,0.004690431519699439,41.000000000000085,1.005555555555555,42.21388367729831
50,1.0,2.0,1.5,622,29.581993569131832,2.0000000000029328,0.003215434083606001,32.999999999999446,1.0054644808743252,39.228295819935695
200,2.0,2.0,2.0,241,50.20746887966805,2.000000000000056,0.008298755186722224,33.999999999999986,1.0083333333333335,49.79253112033195
200,2.0,2.0,1.5,261,42.911877394636015,0.5000000000017493,0.0019157088122672386,38.499999999998906,1.0022371364653322,57.08812260536399
50,1.0,1.5,2.0,622,44.21221864951769,0.49999999999986167,0.0008038585209000992,37.00000000000007,1.0012135922330094,33.11897106109325
50,1.5,1.5,2.5,544,62.5,2.213784711102562e-12,4.069457189526769e-15,55.999999999999396,1.0000000000000044,37.5
50,2.0,1.5,2.5,544,62.5,2.213784711102562e-12,4.069457189526769e-15,55.999999999999396,1.0000000000000044,37.5
200,1.5,1.5,1.5,276,50.0,1.6160406346443779e-12,5.8552196907404996e-15,25.49999999999905,1.0000000000000078,50.0
200,2.0,1.5,1.5,276,50.0,1.6160406346443779e-12,5.8552196907404996e-15,25.49999999999905,1.0000000000000078,50.0
50,2.0,2.0,1.0,609,33.33333333333333,-1.1446399383885364e-13,-1.8795401287168086e-16,31.000000000000124,0.9999999999999997,66.66666666666666
100,2.0,2.0,2.5,316,55.379746835443036,-0.004276021459768537,-0.00001353171348028018,40.9999999999994,0.9999877829450875,44.303797468354425
100,2.0,4.0,2.0,309,24.59546925566343,-0.004276021461305752,-0.000013838257156329294,56.000000000000036,0.9999859343377756,49.19093851132686
50,2.0,2.0,3.0,477,59.958071278826,-1.0000000000000258,-0.0020964360587002635,48.00000000000005,0.9982547993019197,40.041928721174
50,1.5,4.0,3.0,477,24.737945492662476,-1.9999999999999951,-0.004192872117400409,51.000000000000036,0.9957805907172996,33.123689727463315
50,1.0,1.5,1.0,695,33.093525179856115,-2.000000000000005,-0.0028776978417266257,28.500000000000046,0.9942363112391931,49.92805755395683
100,1.5,4.0,2.0,326,22.085889570552148,-2.004276021461278,-0.006148085955402694,50.00000000000003,0.9930888052791574,44.47852760736196
100,2.0,2.0,2.0,330,49.696969696969695,-2.004276021461372,-0.006073563701398097,40.00000000000004,0.993926514996639,50.0
200,2.0,2.5,1.5,260,34.23076923076923,-2.4999999999981704,-0.009615384615377578,36.49999999999881,0.988888888888897,57.692307692307686
100,2.0,4.0,2.5,297,26.936026936026934,-2.5042760214598543,-0.008431905796161125,51.499999999999744,0.992234905991469,43.43434343434344
100,1.5,4.0,2.5,316,23.734177215189874,-2.5042760214599404,-0.007924924118544115,46.49999999999975,0.9917215186033194,38.291139240506325
50,1.0,1.5,2.5,612,47.05882352941176,-2.9999999999980504,-0.00490196078431054,39.49999999999925,0.9931034482758665,28.431372549019606
50,1.5,1.5,3.0,529,66.5406427221172,-3.0000000000002025,-0.005671077504726281,55.5000000000001,0.9943502824858753,33.459357277882795
50,2.0,1.5,3.0,529,66.5406427221172,-3.0000000000002025,-0.005671077504726281,55.5000000000001,0.9943502824858753,33.459357277882795
50,2.0,2.5,1.5,525,33.523809523809526,-3.9999999999966387,-0.007619047619041216,42.99999999999815,0.9909909909909985,56.38095238095238
50,1.0,2.5,1.5,614,23.289902280130292,-3.9999999999972395,-0.00651465798045153,40.49999999999842,0.9889349930843783,39.25081433224756
100,1.0,4.0,2.5,366,18.30601092896175,-4.5042760214601145,-0.012306765085956597,42.99999999999925,0.9834708060834048,29.78142076502732
50,2.0,2.5,3.0,463,47.51619870410367,-5.000000000000085,-0.010799136069114656,52.00000000000007,0.990990990990991,39.956803455723545
100,1.5,2.0,2.5,331,48.338368580060425,-5.004276021459851,-0.01511865867510529,34.99999999999971,0.9846024302119353,39.274924471299094
50,1.5,4.0,1.5,530,18.49056603773585,-5.499999999996912,-0.01037735849056021,41.499999999998195,0.9861635220125863,50.0
200,2.0,3.0,1.5,256,28.515625,-5.99999999999821,-0.02343749999999301,34.499999999999346,0.9733333333333412,58.59375
200,2.0,3.0,2.0,236,33.05084745762712,-5.999999999999913,-0.025423728813558952,24.99999999999998,0.9750000000000004,50.847457627118644
100,0.5,4.0,2.0,450,11.333333333333332,-6.004276021461319,-0.013342835603247375,40.00000000000005,0.9714087915959972,23.333333333333332
100,1.5,2.0,2.0,343,44.31486880466473,-6.004276021461344,-0.017505177905135113,36.00000000000002,0.9806316348325284,45.18950437317784
200,1.0,2.0,1.5,301,29.900332225913623,-7.499999999998539,-0.02491694352158983,46.999999999999076,0.9600000000000076,41.52823920265781
50,1.0,2.5,2.0,601,26.12312811980033,-7.500000000000141,-0.012479201331115044,39.00000000000003,0.9812499999999996,33.277870216306155
200,1.5,2.0,1.5,270,37.407407407407405,-7.999999999998332,-0.02962962962962345,43.999999999999,0.9619047619047696,51.85185185185185
50,1.0,4.0,2.0,580,16.206896551724135,-8.00000000000001,-0.013793103448275881,40.00000000000006,0.9791666666666666,33.10344827586207
200,1.0,2.5,1.5,300,23.666666666666668,-8.499999999998474,-0.028333333333328246,38.999999999999,0.954301075268825,41.333333333333336
200,1.5,2.5,1.5,270,30.0,-8.999999999998314,-0.03333333333332709,39.49999999999895,0.9574468085106459,52.22222222222223
50,1.0,1.5,3.0,602,49.501661129568106,-9.00000000000011,-0.014950166112956994,40.50000000000007,0.9802631578947366,25.249169435215947
100,2.0,2.5,2.0,323,38.69969040247678,-9.504276021461324,-0.029425003162418962,49.000000000000036,0.9704840067998729,49.84520123839009
50,1.0,2.5,2.5,591,28.08798646362098,-9.999999999998089,-0.016920473773262418,39.99999999999928,0.9764705882352984,28.76480541455161
200,1.5,2.0,2.0,256,41.796875,-9.999999999999927,-0.039062499999999716,42.0,0.9553571428571432,43.75
50,1.0,2.0,2.0,609,32.67651888341543,-9.999999999999966,-0.0164203612479474,39.99999999999999,0.9754901960784313,33.497536945812804
50,2.0,4.0,2.0,473,24.52431289640592,-10.000000000000064,-0.021141649048625928,46.00000000000006,0.9789029535864978,50.10570824524313
100,1.0,4.0,2.0,376,17.02127659574468,-10.004276021461298,-0.026607117078354513,48.00000000000005,0.962390544351046,35.37234042553192
100,2.0,4.0,3.0,287,28.9198606271777,-10.004276021461347,-0.03485810460439494,59.00000000000007,0.9707480966675588,39.721254355400696
100,1.0,4.0,3.0,357,19.047619047619047,-10.004276021461393,-0.02802318213294508,46.00000000000008,0.9645243818193024,26.330532212885156
50,1.5,3.0,1.5,543,23.756906077348066,-10.499999999996904,-0.019337016574579934,47.999999999997925,0.9735849056603849,48.80294659300184
50,1.0,4.0,2.5,571,17.338003502626968,-11.499999999998078,-0.02014010507880574,47.49999999999958,0.9717791411042991,28.546409807355516
200,1.0,1.5,1.5,305,38.0327868852459,-11.999999999998582,-0.03934426229507732,37.499999999999055,0.935483870967749,40.65573770491803
200,2.0,2.0,1.0,294,31.97278911564626,-12.00000000000011,-0.040816326530612616,29.000000000000075,0.9399999999999995,68.02721088435374
50,1.5,2.5,3.0,505,39.20792079207921,-12.000000000000139,-0.023762376237624037,58.50000000000006,0.9763313609467453,33.46534653465347
100,0.5,4.0,1.5,466,10.300429184549357,-12.00427602145981,-0.025760248973089723,35.4999999999997,0.9411567431057326,29.184549356223176
100,2.0,3.0,2.0,316,31.645569620253166,-12.00427602146134,-0.03798821525778905,53.00000000000005,0.9615252836450369,49.36708860759494
200,0.5,4.0,1.5,341,9.970674486803519,-12.499999999998836,-0.03665689149559776,38.499999999999545,0.9158249158249231,29.03225806451613
50,1.0,2.0,1.0,681,24.375917767988252,-12.999999999999996,-0.019089574155653447,32.00000000000006,0.9623188405797102,50.66079295154186
50,1.5,3.0,2.0,524,27.29007633587786,-13.000000000000044,-0.024809160305343598,50.00000000000008,0.9705882352941175,42.17557251908397
200,1.5,1.5,1.0,308,38.311688311688314,-13.000000000000112,-0.04220779220779257,24.500000000000032,0.9315789473684205,61.68831168831169
200,2.0,1.5,1.0,308,38.311688311688314,-13.000000000000112,-0.04220779220779257,24.500000000000032,0.9315789473684205,61.68831168831169
100,0.5,3.0,2.0,455,14.285714285714285,-13.004276021461333,-0.02858082642079414,42.000000000000064,0.9374807274629318,22.857142857142858
200,0.5,3.0,1.5,347,12.968299711815561,-13.499999999998849,-0.03890489913544337,41.99999999999922,0.9090909090909162,28.530259365994237
200,1.5,2.5,2.0,256,33.203125,-13.499999999999908,-0.05273437499999964,36.49999999999994,0.9402654867256641,44.140625
200,1.0,1.5,2.0,290,42.41379310344828,-13.499999999999995,-0.046551724137931016,38.49999999999994,0.9318181818181819,34.13793103448276
50,1.5,2.5,1.0,614,23.289902280130292,-13.500000000000206,-0.021986970684039424,44.00000000000012,0.9636118598382745,60.423452768729646
50,2.0,4.0,1.5,502,21.115537848605577,-13.999999999996607,-0.027888446215132683,41.499999999998025,0.9680365296803727,58.16733067729084
50,2.0,2.0,2.5,497,54.929577464788736,-13.999999999997453,-0.02816901408450192,43.99999999999943,0.9750000000000044,45.07042253521127
200,1.0,2.0,2.0,285,32.280701754385966,-13.99999999999999,-0.049122807017543825,52.00000000000006,0.9292929292929295,34.73684210526316
50,1.0,2.5,3.0,581,29.604130808950085,-14.00000000000006,-0.02409638554216878,36.499999999999986,0.9684684684684683,25.47332185886403
100,1.5,4.0,3.0,306,24.836601307189543,-14.004276021461315,-0.04576560791327227,53.00000000000006,0.9559619883208232,34.64052287581699
100,1.0,3.0,2.0,383,22.45430809399478,-14.004276021461338,-0.036564689351073994,47.00000000000007,0.9485145004839689,35.50913838120104
50,1.5,2.0,2.5,529,46.12476370510397,-14.499999999997641,-0.027410207939504046,55.999999999999375,0.9711442786069698,37.99621928166352
50,1.5,4.0,2.5,493,22.718052738336713,-14.499999999997826,-0.029411764705877943,50.499999999999304,0.9686486486486533,37.52535496957404
200,0.5,2.5,1.5,351,15.0997150997151,-14.499999999998792,-0.04131054131053787,36.999999999999304,0.9013605442176945,27.92022792022792
200,0.5,2.0,1.5,353,18.980169971671387,-14.499999999998884,-0.041076487252121485,39.99999999999925,0.9023569023569091,28.04532577903683
100,0.5,2.5,2.0,459,17.21132897603486,-14.504276021461383,-0.03159972989425138,38.00000000000003,0.9315849835972503,23.093681917211327
50,2.0,4.0,3.0,436,29.587155963302752,-14.999999999999979,-0.034403669724770596,68.00000000000003,0.9717514124293786,40.596330275229356
50,1.5,2.0,3.0,513,49.122807017543856,-15.000000000000028,-0.0292397660818714,58.00000000000007,0.9710982658959538,33.72319688109162
100,2.0,2.0,1.5,354,41.52542372881356,-15.00427602145915,-0.04238496051259647,34.99999999999962,0.951443144364717,58.19209039548022
100,1.0,3.0,1.5,405,20.0,-15.004276021459482,-0.03704759511471477,38.99999999999971,0.941844855237161,42.46913580246914
100,2.0,2.5,2.5,311,42.443729903536976,-15.004276021459725,-0.048245260519163106,47.49999999999971,0.9565098838933623,44.37299035369775
100,0.5,4.0,2.5,444,11.936936936936938,-15.50427602146033,-0.034919540588874615,46.99999999999916,0.9318506170846749,20.495495495495494
50,1.0,4.0,3.0,560,18.035714285714285,-15.999999999999986,-0.028571428571428546,54.00000000000006,0.961904761904762,25.0
100,1.5,2.0,1.5,367,37.87465940054496,-16.004276021459237,-0.043608381529861684,33.99999999999964,0.945564478727884,53.40599455040872
100,1.5,3.0,2.0,332,28.313253012048197,-16.00427602146132,-0.048205650667052166,49.00000000000005,0.9462951463813603,44.87951807228915
100,1.5,2.5,2.0,337,34.42136498516321,-16.004276021461322,-0.04749043329810482,45.50000000000002,0.9476991752221827,45.40059347181009
50,1.0,2.0,2.5,599,34.72454090150251,-16.49999999999791,-0.027545909849746097,48.49999999999922,0.9618497109826637,28.881469115191987
200,1.5,3.0,1.5,265,24.528301886792452,-16.499999999998302,-0.062264150943389815,40.499999999999254,0.9219858156028444,53.20754716981132
50,2.0,3.0,2.0,489,31.697341513292432,-17.000000000000085,-0.0347648261758693,46.00000000000007,0.9647302904564313,49.284253578732105
100,2.0,3.0,2.5,305,34.75409836065574,-17.004276021459823,-0.05575172466052401,52.49999999999975,0.9492416149924888,43.9344262295082
50,2.0,2.5,2.5,483,43.47826086956522,-17.499999999997588,-0.03623188405796602,49.99999999999932,0.9677419354838754,44.927536231884055
50,1.5,2.5,2.5,520,36.34615384615385,-17.499999999997844,-0.03365384615384201,57.499999999999304,0.9642857142857185,37.69230769230769
200,1.5,1.5,2.5,260,60.76923076923077,-17.99999999999897,-0.06923076923076527,35.49999999999924,0.9294117647058862,39.23076923076923
200,2.0,1.5,2.5,260,60.76923076923077,-17.99999999999897,-0.06923076923076527,35.49999999999924,0.9294117647058862,39.23076923076923
50,2.0,3.0,3.0,452,38.716814159292035,-18.00000000000001,-0.03982300884955754,57.00000000000003,0.9668508287292817,40.04424778761062
100,0.5,2.5,1.5,474,15.822784810126583,-18.004276021459862,-0.03798370468662418,31.999999999999712,0.9123897742177407,28.902953586497894
100,1.5,3.0,2.5,323,30.65015479876161,-18.00427602145991,-0.05574079263609879,47.499999999999766,0.942844344055084,39.0092879256966
100,1.0,3.0,2.5,375,23.733333333333334,-18.004276021460093,-0.04801140272389358,44.9999999999995,0.9368280494847578,30.4
200,1.5,2.0,1.0,305,28.524590163934427,-19.000000000000107,-0.062295081967213464,39.00000000000009,0.9015544041450773,63.278688524590166
100,1.0,2.0,1.5,412,29.36893203883495,-19.004276021459454,-0.046126883547231684,29.999999999999677,0.9271878748074729,42.23300970873786
100,0.5,3.0,1.5,470,12.978723404255318,-19.504276021459845,-0.041498459620127326,35.99999999999974,0.9036846213588452,28.723404255319153
200,0.5,4.0,2.0,333,10.21021021021021,-19.999999999999954,-0.06006006006005992,42.0,0.8717948717948723,23.423423423423422
200,2.0,2.5,1.0,292,25.34246575342466,-20.00000000000001,-0.06849315068493154,31.00000000000002,0.9024390243902439,70.2054794520548
50,2.0,2.5,1.0,594,25.589225589225588,-20.000000000000224,-0.033670033670034044,39.000000000000114,0.9499999999999995,67.34006734006735
100,1.5,2.5,2.5,327,37.00305810397553,-20.00427602145984,-0.06117515602892918,42.499999999999716,0.9379720595700608,39.44954128440367
100,2.0,2.0,3.0,306,58.496732026143796,-20.00427602146143,-0.06537345105052754,54.000000000000036,0.947079233515534,41.17647058823529
200,1.0,2.5,2.0,285,24.912280701754387,-20.499999999999915,-0.0719298245614032,45.999999999999936,0.896464646464647,34.73684210526316
50,1.0,4.0,1.5,596,14.093959731543624,-20.99999999999716,-0.0352348993288543,52.49999999999836,0.9411764705882428,39.93288590604027
200,1.0,3.0,1.5,297,18.51851851851852,-20.999999999998522,-0.07070707070706574,44.999999999999034,0.8870967741935556,41.75084175084175
200,0.5,1.5,1.5,353,24.07932011331445,-20.999999999998895,-0.05949008498583257,34.49999999999948,0.858585858585865,28.04532577903683
200,0.5,2.5,2.0,343,15.743440233236154,-20.999999999999908,-0.061224489795918095,41.99999999999996,0.865384615384616,22.740524781341108
200,0.5,3.0,2.0,338,13.313609467455622,-20.999999999999947,-0.062130177514792745,48.000000000000014,0.8653846153846159,23.076923076923077
50,1.5,3.0,3.0,494,31.781376518218625,-21.000000000000018,-0.04251012145748991,66.00000000000003,0.9573170731707318,33.198380566801625
100,1.0,4.0,1.5,398,15.07537688442211,-21.004276021459436,-0.05277456286798853,42.99999999999966,0.9195251650983202,43.71859296482412
100,1.0,3.0,3.0,366,25.136612021857925,-21.004276021461465,-0.05738873229907504,48.00000000000015,0.9292795501033673,27.049180327868854
50,0.5,2.0,1.5,746,18.36461126005362,-21.499999999997673,-0.028820375335117523,38.49999999999782,0.9272419627749651,26.40750670241287
50,1.0,3.0,2.5,583,22.46998284734134,-21.999999999998074,-0.03773584905660047,47.49999999999877,0.9469879518072334,28.473413379073758
200,1.5,4.0,1.5,262,17.938931297709924,-21.999999999998366,-0.08396946564884872,45.49999999999895,0.8952380952381024,53.43511450381679
50,0.5,2.0,2.0,734,19.482288828337875,-21.99999999999988,-0.029972752043596566,37.99999999999999,0.928571428571429,20.98092643051771
200,0.5,2.0,2.0,345,19.710144927536234,-21.999999999999993,-0.06376811594202897,46.00000000000006,0.8607594936708861,22.89855072463768
50,0.5,1.5,1.5,756,24.6031746031746,-22.49999999999779,-0.02976190476190184,40.49999999999878,0.9253731343283651,26.58730158730159
100,1.5,1.5,2.5,338,60.650887573964496,-22.504276021459848,-0.06658069828834275,38.99999999999908,0.9318061078093532,39.053254437869825
100,2.0,1.5,2.5,338,60.650887573964496,-22.504276021459848,-0.06658069828834275,38.99999999999908,0.9318061078093532,39.053254437869825
100,1.5,1.5,2.0,350,55.14285714285714,-22.50427602146136,-0.0642979314898896,36.50000000000004,0.9278718987174607,44.57142857142857
100,2.0,1.5,2.0,350,55.14285714285714,-22.50427602146136,-0.0642979314898896,36.50000000000004,0.9278718987174607,44.57142857142857
200,2.0,4.0,1.5,253,19.76284584980237,-23.499999999998252,-0.09288537549406424,45.499999999998835,0.894854586129761,58.89328063241107
50,1.0,2.0,3.0,588,36.224489795918366,-23.99999999999994,-0.040816326530612144,43.99999999999993,0.9466666666666669,25.510204081632654
200,2.0,4.0,2.0,233,23.17596566523605,-23.999999999999957,-0.10300429184549338,38.0,0.9000000000000002,51.50214592274678
50,1.0,3.0,3.0,573,23.7347294938918,-24.000000000000004,-0.04188481675392671,47.999999999999986,0.9444444444444443,25.13089005235602
200,0.5,3.0,3.0,336,14.880952380952381,-24.00000000000002,-0.0714285714285715,42.00000000000003,0.8620689655172413,17.261904761904763
100,1.0,2.0,2.0,391,32.73657289002558,-24.00427602146137,-0.06139201028506744,40.00000000000004,0.9142717519798823,35.80562659846547
100,2.0,3.0,3.0,295,37.6271186440678,-24.004276021461433,-0.08137042719139469,60.000000000000085,0.9327619369466084,40.33898305084746
200,1.0,4.0,1.5,293,13.651877133105803,-24.499999999998554,-0.0836177474402681,47.99999999999902,0.8672086720867278,41.979522184300336
200,1.0,1.5,2.5,289,45.674740484429066,-24.499999999999126,-0.08477508650518728,48.999999999999325,0.8898876404494418,30.79584775086505
200,1.0,2.0,2.5,284,34.859154929577464,-24.499999999999126,-0.08626760563379975,61.49999999999944,0.8898876404494418,31.338028169014088
200,2.0,2.5,2.5,238,42.857142857142854,-24.999999999998728,-0.10504201680671735,42.499999999999204,0.9107142857142899,47.05882352941176
200,1.5,3.0,2.0,251,26.693227091633464,-24.999999999999883,-0.09960159362549754,40.999999999999986,0.8893805309734519,45.0199203187251
50,1.0,3.0,2.0,593,20.741989881956155,-25.000000000000036,-0.042158516020236146,50.000000000000014,0.9365482233502537,33.22091062394604
50,1.0,3.0,1.5,606,18.316831683168317,-25.499999999997183,-0.04207920792078743,52.49999999999821,0.9288702928870367,39.43894389438944
200,2.0,2.0,2.5,239,53.13807531380753,-25.99999999999882,-0.10878661087865615,56.99999999999915,0.907142857142861,46.86192468619247
200,0.5,3.0,2.5,337,14.243323442136498,-25.99999999999929,-0.07715133531157059,53.99999999999953,0.8470588235294154,20.178041543026705
50,0.5,1.5,2.0,742,25.87601078167116,-26.00000000000002,-0.03504043126684639,39.00000000000001,0.9171974522292994,21.159029649595688
200,0.5,4.0,1.0,354,8.47457627118644,-26.000000000000103,-0.07344632768361611,33.0000000000001,0.8219178082191777,41.24293785310734
200,1.0,2.0,1.0,327,23.547400611620795,-26.000000000000156,-0.07951070336391484,46.000000000000135,0.8555555555555548,55.04587155963303
200,0.5,2.0,1.0,366,16.120218579234972,-26.000000000000185,-0.07103825136612073,40.000000000000156,0.8194444444444435,39.34426229508197
100,1.0,2.5,1.5,408,23.03921568627451,-26.004276021459468,-0.06373597064083203,35.49999999999968,0.9003683908254384,42.64705882352941
50,0.5,1.5,1.0,791,22.123893805309734,-26.49999999999998,-0.033501896333754715,35.5,0.9083044982698962,36.53603034134007
100,1.0,2.0,2.5,381,34.90813648293963,-26.504276021460058,-0.06956502892771668,43.99999999999918,0.9093884151645172,30.708661417322837
100,2.0,2.5,3.0,301,45.51495016611295,-26.504276021461376,-0.08805407316100125,55.50000000000004,0.9281735260435847,40.863787375415285
50,1.5,3.0,2.5,510,29.411764705882355,-27.499999999997776,-0.05392156862744662,66.49999999999932,0.9424083769633552,37.450980392156865
200,1.0,2.5,2.5,284,27.464788732394368,-27.499999999999034,-0.09683098591548955,52.499999999999346,0.8764044943820264,31.338028169014088
200,0.5,1.5,2.0,345,25.217391304347824,-27.50000000000001,-0.07971014492753627,40.50000000000003,0.8259493670886077,22.89855072463768
200,0.5,2.5,1.0,364,12.912087912087914,-27.500000000000068,-0.07554945054945074,36.00000000000005,0.8103448275862069,39.83516483516483
200,1.5,4.0,2.0,248,19.758064516129032,-27.99999999999994,-0.11290322580645137,41.999999999999986,0.8750000000000003,45.16129032258064
100,1.5,4.0,1.5,352,18.46590909090909,-28.004276021459297,-0.07955760233369119,48.999999999999645,0.902764374167234,54.54545454545454
100,0.5,2.0,1.5,476,18.487394957983195,-28.00427602145984,-0.058832512650125714,34.499999999998515,0.8627270145135881,28.57142857142857
100,0.5,2.0,2.0,461,19.95661605206074,-28.00427602146137,-0.06074680264959082,42.00000000000005,0.8679070226931346,22.99349240780911
