model,type,accuracy,precision,recall,f1,auc_roc
MultiScaleCNN,Deep Learning,0.2727272727272727,0.0,0.0,0.0,0.6435185185185185
LightGBM,Tree,0.6363636363636364,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.6203703703703703
RandomForest,Tree,0.6060606060606061,0.6896551724137931,0.8333333333333334,0.7547169811320755,0.5555555555555556
XGBoost,Tree,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,0.5
LogisticRegression,Tree,0.6060606060606061,0.72,0.75,0.7346938775510204,0.462962962962963
CandleCNN,Deep Learning,0.3939393939393939,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.4398148148148148
BiLSTM,Deep Learning,0.5454545454545454,0.6956521739130435,0.6666666666666666,0.6808510638297872,0.29166666666666663
