ma,cons_bars,cons_range,drop_thresh,tp,sl,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor
24,6,1.0,1.5,5.0,1.0,985,17.66497461928934,59.00000000000008,0.059898477157360484,50.99999999999997,1.0727496917385944
24,6,2.0,1.5,5.0,1.0,1672,17.165071770334926,50.000000000000156,0.029904306220095787,149.00000000000006,1.036101083032491
48,6,3.0,2.0,2.0,1.5,620,45.16129032258064,49.9999999999999,0.08064516129032243,24.50000000000004,1.0980392156862744
24,6,3.0,1.5,5.0,1.0,1788,17.114093959731544,48.00000000000009,0.02684563758389267,141.0000000000001,1.0323886639676112
24,12,3.0,1.5,5.0,1.0,1688,17.120853080568722,46.000000000000135,0.027251184834123303,147.0000000000001,1.0328806290207293
48,6,2.0,2.0,2.0,1.5,494,45.34412955465587,42.99999999999989,0.08704453441295525,28.500000000000036,1.1061728395061725
48,6,3.0,1.5,2.0,1.5,1159,43.917169974115616,42.99999999999981,0.037100949094046425,62.00000000000019,1.0441025641025639
48,24,3.0,1.5,3.0,1.0,950,26.105263157894736,42.000000000000206,0.04421052631578969,86.99999999999991,1.0598290598290598
48,6,3.0,2.0,2.0,1.0,654,35.47400611620795,41.99999999999989,0.06422018348623837,24.000000000000025,1.0995260663507105
48,6,3.0,1.5,2.0,2.0,1069,50.982226379794206,41.999999999999645,0.039289055191767674,64.00000000000031,1.0400763358778622
48,6,1.0,1.5,5.0,1.0,481,18.08731808731809,41.00000000000008,0.0852390852390854,49.000000000000085,1.104060913705584
24,24,3.0,1.5,5.0,1.0,1352,17.159763313609467,40.0,0.029585798816568046,139.0000000000001,1.0357142857142856
48,6,2.0,1.5,3.0,1.0,1077,25.90529247910863,39.000000000000256,0.03621169916434564,74.99999999999989,1.0488721804511283
48,6,3.0,1.5,3.0,1.5,1057,34.15326395458846,39.00000000000017,0.036896877956480764,91.49999999999993,1.0373563218390804
48,12,3.0,1.5,3.0,1.5,989,34.17593528816987,37.500000000000114,0.0379170879676442,103.5,1.0384024577572966
48,12,3.0,2.0,2.0,1.5,533,44.8405253283302,37.000000000000014,0.06941838649155725,32.00000000000004,1.0839002267573696
48,6,3.0,1.5,5.0,2.0,801,29.213483146067414,36.000000000000114,0.044943820224719246,118.0000000000002,1.0317460317460319
48,12,3.0,1.5,3.0,1.0,1125,25.77777777777778,35.000000000000206,0.031111111111111294,84.99999999999987,1.0419161676646707
48,6,3.0,1.5,3.0,1.0,1209,25.723738626964433,35.00000000000019,0.028949545078577495,70.9999999999999,1.038975501113586
24,12,2.0,1.5,5.0,1.0,1381,17.089065894279507,35.0000000000001,0.02534395365677053,148.00000000000006,1.0305676855895198
48,6,3.0,1.5,3.0,2.0,958,40.709812108559504,34.00000000000017,0.03549060542797513,99.99999999999996,1.029929577464789
48,6,3.0,2.0,2.0,2.0,589,51.44312393887945,33.999999999999716,0.057724957555177786,40.00000000000013,1.0594405594405587
100,6,3.0,3.0,5.0,1.5,112,27.67857142857143,33.50000000000012,0.29910714285714396,19.000000000000007,1.2757201646090546
48,6,1.0,1.5,3.0,1.0,515,26.601941747572816,33.00000000000008,0.06407766990291278,43.00000000000003,1.0873015873015874
24,6,1.0,3.0,5.0,2.0,36,41.66666666666667,33.000000000000014,0.9166666666666671,12.000000000000018,1.7857142857142854
24,12,1.0,1.5,2.0,2.0,302,52.64900662251656,32.000000000000135,0.1059602649006627,25.99999999999998,1.1118881118881123
24,12,3.0,3.0,5.0,2.0,201,30.845771144278604,32.00000000000004,0.1592039800995027,37.00000000000003,1.115107913669065
48,12,3.0,1.5,2.0,2.0,997,50.752256770310936,29.999999999999787,0.0300902708124371,74.00000000000028,1.0305498981670058
48,6,2.0,2.0,2.0,1.0,511,35.22504892367906,29.000000000000025,0.056751467710371865,29.00000000000002,1.0876132930513596
48,12,3.0,1.5,2.0,1.5,1075,43.627906976744185,28.999999999999932,0.02697674418604645,77.00000000000009,1.0319031903190317
48,6,3.0,1.5,2.0,1.0,1291,34.08210689388071,28.999999999999694,0.022463206816421142,50.0,1.034077555816686
48,24,3.0,1.5,3.0,1.5,849,34.04004711425206,27.000000000000046,0.03180212014134281,118.50000000000011,1.0321428571428573
24,12,1.0,1.5,2.0,1.0,315,36.19047619047619,27.00000000000003,0.0857142857142858,14.000000000000036,1.1343283582089552
48,12,1.0,1.5,3.0,1.0,109,31.19266055045872,27.000000000000014,0.24770642201834875,12.000000000000016,1.3599999999999999
48,12,3.0,1.5,3.0,2.0,902,40.57649667405765,26.0000000000001,0.028824833702882594,115.00000000000001,1.0242537313432838
48,12,1.0,1.5,5.0,1.0,106,20.754716981132077,26.000000000000096,0.24528301886792545,17.99999999999999,1.3095238095238104
48,6,2.0,1.5,3.0,1.5,955,33.92670157068063,25.5,0.026701570680628273,103.50000000000006,1.0269413629160062
48,6,3.0,1.5,5.0,1.5,902,23.503325942350333,25.000000000000043,0.027716186252771665,107.00000000000013,1.0241545893719806
48,12,3.0,1.5,5.0,2.0,754,29.045092838196286,25.000000000000043,0.03315649867374011,121.00000000000028,1.0233644859813085
100,12,3.0,3.0,5.0,1.5,66,28.78787878787879,24.500000000000078,0.3712121212121224,10.50000000000001,1.347517730496455
100,12,3.0,3.0,5.0,1.0,66,22.727272727272727,24.00000000000006,0.36363636363636453,13.0,1.4705882352941186
24,12,3.0,3.0,3.0,2.0,208,42.30769230769231,24.00000000000003,0.11538461538461552,27.000000000000018,1.0999999999999999
24,6,1.0,3.0,5.0,1.5,36,33.33333333333333,24.000000000000004,0.6666666666666667,9.000000000000021,1.6666666666666656
100,6,3.0,3.0,5.0,1.0,114,20.175438596491226,23.999999999999996,0.21052631578947364,18.000000000000007,1.2637362637362632
100,6,2.0,3.0,5.0,1.5,67,28.35820895522388,23.000000000000057,0.34328358208955306,11.500000000000004,1.319444444444445
100,6,3.0,3.0,5.0,2.0,111,31.53153153153153,23.00000000000002,0.2072072072072074,27.0,1.1513157894736843
100,6,3.0,2.0,2.0,1.0,463,34.98920086393088,22.999999999999964,0.04967602591792649,26.000000000000092,1.07641196013289
100,12,3.0,3.0,3.0,1.5,66,40.909090909090914,22.50000000000004,0.3409090909090915,8.999999999999986,1.384615384615385
48,12,3.0,1.5,5.0,1.5,843,23.487544483985765,22.500000000000032,0.026690391459074772,117.00000000000013,1.0232558139534884
100,12,3.0,3.0,3.0,1.0,66,33.33333333333333,22.00000000000002,0.33333333333333365,7.0000000000000036,1.5
24,6,3.0,3.0,3.0,2.0,334,41.31736526946108,21.999999999999975,0.06586826347305381,41.00000000000005,1.0561224489795917
100,24,2.0,1.5,5.0,2.0,283,29.681978798586574,21.99999999999989,0.07773851590105968,60.00000000000013,1.0552763819095474
100,6,3.0,3.0,3.0,1.5,112,37.5,21.000000000000064,0.18750000000000058,13.499999999999995,1.2000000000000004
100,6,1.0,1.5,2.0,2.0,374,51.33689839572193,20.00000000000004,0.05347593582887711,26.000000000000014,1.054945054945055
48,12,3.0,2.0,2.0,2.0,514,50.97276264591439,19.99999999999986,0.038910505836575605,48.00000000000012,1.0396825396825393
48,6,2.0,2.0,2.0,2.0,478,51.04602510460251,19.99999999999972,0.041841004184099834,36.00000000000015,1.0427350427350421
48,24,3.0,1.5,3.0,2.0,773,40.49159120310479,19.000000000000124,0.024579560155239488,123.00000000000003,1.0206521739130436
48,6,1.0,2.0,5.0,1.0,143,18.88111888111888,19.000000000000078,0.13286713286713342,21.000000000000014,1.1637931034482765
48,12,3.0,2.0,2.0,1.0,560,34.464285714285715,19.00000000000001,0.03392857142857145,30.999999999999993,1.0517711171662127
24,24,2.0,1.5,5.0,1.0,641,17.160686427457097,19.000000000000004,0.0296411856474259,81.00000000000004,1.0357815442561205
48,6,3.0,3.0,2.0,1.5,144,46.52777777777778,18.499999999999936,0.12847222222222177,14.500000000000032,1.1601731601731595
24,6,1.0,3.0,5.0,1.0,36,25.0,18.00000000000004,0.5000000000000011,9.000000000000007,1.6666666666666679
100,6,3.0,3.0,3.0,2.0,111,43.24324324324324,18.00000000000001,0.16216216216216225,19.00000000000004,1.1428571428571428
100,6,3.0,3.0,3.0,1.0,114,28.947368421052634,18.000000000000007,0.15789473684210534,11.000000000000018,1.222222222222222
100,12,3.0,1.5,3.0,2.0,696,40.51724137931034,17.999999999999748,0.02586206896551688,72.0000000000003,1.0217391304347823
24,12,1.0,1.5,3.0,1.0,311,26.366559485530544,17.000000000000007,0.05466237942122189,27.00000000000002,1.0742358078602618
24,6,3.0,3.0,3.0,1.5,340,34.411764705882355,16.500000000000046,0.048529411764706015,37.50000000000003,1.0493273542600898
48,6,2.0,1.5,5.0,1.0,962,16.943866943866944,16.00000000000007,0.016632016632016706,97.99999999999989,1.0200250312891115
48,6,1.0,1.5,2.0,1.0,524,34.35114503816794,15.999999999999941,0.030534351145038056,36.00000000000014,1.0465116279069766
48,6,2.0,1.5,2.0,1.0,1142,33.80035026269702,15.99999999999982,0.014010507880910525,62.99999999999997,1.021164021164021
48,6,2.0,1.5,2.0,1.5,1035,43.28502415458937,15.499999999999718,0.014975845410627747,89.50000000000033,1.0176036342986936
100,12,3.0,3.0,5.0,2.0,66,31.818181818181817,15.000000000000027,0.22727272727272768,16.999999999999993,1.1666666666666667
24,12,2.0,3.0,3.0,2.0,55,45.45454545454545,14.999999999999993,0.2727272727272726,15.000000000000014,1.2499999999999998
48,6,3.0,1.5,5.0,1.0,1078,16.883116883116884,14.000000000000028,0.012987012987013014,88.0,1.015625
48,24,3.0,2.0,2.0,1.0,391,34.52685421994885,14.000000000000004,0.035805626598465486,30.999999999999964,1.0546875
24,12,1.0,1.5,5.0,1.0,304,17.434210526315788,14.0,0.046052631578947366,36.000000000000014,1.0557768924302786
48,24,3.0,1.5,5.0,1.5,736,23.369565217391305,13.999999999999982,0.01902173913043476,122.00000000000017,1.016548463356974
48,24,3.0,1.5,2.0,2.0,841,50.416171224732466,13.999999999999888,0.016646848989298323,84.00000000000004,1.0167865707434052
100,12,2.0,1.5,3.0,2.0,543,40.515653775322285,13.999999999999865,0.02578268876611393,63.000000000000185,1.0216718266253868
48,6,3.0,3.0,2.0,1.0,148,36.486486486486484,13.999999999999845,0.09459459459459355,9.000000000000004,1.1489361702127643
24,24,3.0,1.5,5.0,2.0,963,28.76427829698858,13.000000000000153,0.013499480789200574,216.0000000000002,1.0094752186588922
100,12,3.0,3.0,3.0,2.0,66,43.93939393939394,13.000000000000007,0.19696969696969707,9.000000000000032,1.1756756756756757
48,12,1.0,1.5,5.0,1.5,104,25.0,12.999999999999961,0.12499999999999963,21.500000000000043,1.1111111111111107
24,24,3.0,2.0,5.0,1.5,516,23.449612403100776,12.499999999999968,0.024224806201550327,81.50000000000014,1.021097046413502
24,6,1.0,1.5,5.0,1.5,889,23.28458942632171,12.000000000000128,0.01349831271091128,119.5,1.0117302052785924
24,6,3.0,3.0,3.0,1.0,352,25.85227272727273,12.000000000000062,0.03409090909090927,32.000000000000036,1.045977011494253
100,6,2.0,3.0,3.0,1.5,67,37.3134328358209,12.000000000000046,0.17910447761194098,13.499999999999998,1.1904761904761911
24,12,2.0,3.0,3.0,1.5,55,38.18181818181819,11.999999999999996,0.21818181818181812,10.500000000000018,1.2352941176470584
100,12,2.0,3.0,5.0,1.5,14,35.714285714285715,11.50000000000005,0.821428571428575,4.4999999999999964,1.8518518518518559
48,12,1.0,1.5,2.0,1.0,109,36.69724770642202,11.000000000000009,0.10091743119266063,10.0,1.1594202898550725
48,6,3.0,3.0,5.0,1.0,145,17.93103448275862,10.999999999999972,0.07586206896551705,23.000000000000107,1.0924369747899156
100,24,2.0,1.5,5.0,1.5,296,23.64864864864865,10.99999999999995,0.03716216216216199,52.0,1.0324483775811208
100,6,3.0,3.0,2.0,1.0,115,36.52173913043478,10.999999999999911,0.0956521739130427,9.000000000000085,1.1506849315068477
24,12,1.0,1.5,2.0,1.5,308,43.83116883116883,10.49999999999998,0.034090909090909026,23.50000000000001,1.0404624277456647
48,12,1.0,1.5,3.0,1.5,107,35.51401869158878,10.499999999999881,0.09813084112149421,15.000000000000064,1.1014492753623175
100,6,2.0,1.5,3.0,1.5,713,33.66058906030855,10.499999999999872,0.014726507713884814,81.00000000000011,1.0147991543340378
100,12,3.0,1.5,3.0,1.5,746,33.64611260053619,10.499999999999742,0.014075067024128342,73.50000000000017,1.0141414141414138
100,12,2.0,1.5,3.0,1.0,622,25.401929260450164,10.000000000000066,0.016077170418006537,56.99999999999995,1.021551724137931
24,6,2.0,1.5,5.0,2.0,1171,28.693424423569596,9.999999999999988,0.008539709649871894,222.00000000000023,1.0059880239520957
48,6,2.0,1.5,2.0,2.0,961,50.26014568158168,9.999999999999563,0.010405827263266975,86.0000000000003,1.0104602510460245
48,12,3.0,3.0,2.0,1.5,80,46.25,9.500000000000014,0.11875000000000017,18.000000000000043,1.1472868217054266
48,6,1.0,2.0,2.0,1.0,147,35.374149659863946,9.000000000000023,0.061224489795918526,14.0,1.0947368421052635
24,12,2.0,3.0,5.0,2.0,55,30.909090909090907,9.000000000000007,0.16363636363636377,20.00000000000002,1.1184210526315788
100,12,3.0,2.0,2.0,1.0,399,34.08521303258145,9.000000000000002,0.022556390977443615,29.000000000000004,1.0342205323193918
100,6,3.0,3.0,2.0,1.5,113,45.13274336283185,8.999999999999973,0.07964601769911481,14.000000000000043,1.0967741935483868
100,24,2.0,1.5,3.0,2.0,303,40.5940594059406,8.99999999999991,0.029702970297029403,53.00000000000015,1.0249999999999997
