model,accuracy,precision,recall,f1,auc_roc,train_samples,test_samples
LogisticRegression,0.4596774193548387,0.4393939393939394,0.4915254237288136,0.464,0.4140808344198174,496,124
RandomForest,0.4274193548387097,0.4142857142857143,0.4915254237288136,0.4496124031007752,0.4670143415906128,496,124
XGBoost,0.5645161290322581,0.5373134328358209,0.6101694915254238,0.5714285714285714,0.5501955671447196,496,124
LightGBM,0.41935483870967744,0.41333333333333333,0.5254237288135594,0.4626865671641791,0.41799217731421123,496,124
