model_name,accuracy,precision,recall,f1,train_samples,test_samples,auc_roc,type
BiLSTM,0.4838709677419355,0.45614035087719296,0.4406779661016949,0.4482758620689655,496,124,0.4503259452411995,Deep Learning
CandleCNN,0.47580645161290325,0.4482758620689655,0.4406779661016949,0.4444444444444444,496,124,0.4753585397653194,Deep Learning
MultiScaleCNN,0.47580645161290325,0.47580645161290325,1.0,0.644808743169399,496,124,0.48305084745762705,Deep Learning
